date,usd_mad
2000/08/01,"10,8537"
2000/09/01,"10,8737"
2000/10/01,"11,1275"
2000/11/01,"10,9885"
2000/12/01,"10,5395"
2001/01/01,"10,5945"
2001/02/01,"10,6923"
2001/03/01,"11,0423"
2001/04/01,"11,5305"
2001/05/01,"11,9430"
2001/06/01,"11,9076"
2001/07/01,"11,6352"
2001/08/01,"11,2975"
2001/09/01,"11,3168"
2001/10/01,"11,4285"
2001/11/01,"11,4497"
2001/12/01,"11,5165"
2002/01/01,"11,8364"
2002/02/01,"11,7236"
2002/03/01,"11,6925"
2002/04/01,"11,4131"
2002/05/01,"11,1114"
2002/06/01,"10,6023"
2002/07/01,"10,7157"
2002/08/01,"10,6809"
2002/09/01,"10,6418"
2002/10/01,"10,6093"
2002/11/01,"10,5772"
2002/12/01,"10,1421"
2003/01/01,"9,9664"
2003/02/01,"9,9440"
2003/03/01,"9,8551"
2003/04/01,"9,6594"
2003/05/01,"9,2694"
2003/06/01,"9,4403"
2003/07/01,"9,6270"
2003/08/01,"9,8005"
2003/09/01,"9,3443"
2003/10/01,"9,4063"
2003/11/01,"9,1369"
2003/12/01,"8,7975"
2004/01/01,"8,8436"
2004/02/01,"8,8321"
2004/03/01,"8,9344"
2004/04/01,"9,1484"
2004/05/01,"9,0095"
2004/06/01,"9,0129"
2004/07/01,"9,1319"
2004/08/01,"9,0104"
2004/09/01,"8,8764"
2004/10/01,"8,6763"
2004/11/01,"8,4007"
2004/12/01,"8,2590"
2005/01/01,"8,5114"
2005/02/01,"8,4184"
2005/03/01,"8,5510"
2005/04/01,"8,6092"
2005/05/01,"8,9620"
2005/06/01,"9,0839"
2005/07/01,"9,0595"
2005/08/01,"8,9290"
2005/09/01,"9,1209"
2005/10/01,"9,1534"
2005/11/01,"9,2780"
2005/12/01,"9,2252"
2006/01/01,"8,9985"
2006/02/01,"9,1855"
2006/03/01,"9,0514"
2006/04/01,"8,7596"
2006/05/01,"8,6575"
2006/06/01,"8,6736"
2006/07/01,"8,6821"
2006/08/01,"8,6456"
2006/09/01,"8,7281"
2006/10/01,"8,6780"
2006/11/01,"8,4194"
2006/12/01,"8,4300"
2007/01/01,"8,5361"
2007/02/01,"8,4275"
2007/03/01,"8,3641"
2007/04/01,"8,2264"
2007/05/01,"8,3085"
2007/06/01,"8,2676"
2007/07/01,"8,2048"
2007/08/01,"8,2209"
2007/09/01,"7,9160"
2007/10/01,"7,8183"
2007/11/01,"7,7525"
2007/12/01,"7,7804"
2008/01/01,"7,6514"
2008/02/01,"7,5252"
2008/03/01,"7,2828"
2008/04/01,"7,3365"
2008/05/01,"7,3681"
2008/06/01,"7,2878"
2008/07/01,"7,3470"
2008/08/01,"7,7366"
2008/09/01,"7,9945"
2008/10/01,"8,6945"
2008/11/01,"8,7123"
2008/12/01,"8,0521"
2009/01/01,"8,6553"
2009/02/01,"8,7265"
2009/03/01,"8,4184"
2009/04/01,"8,4285"
2009/05/01,"7,9674"
2009/06/01,"8,0423"
2009/07/01,"7,9382"
2009/08/01,"7,9026"
2009/09/01,"7,7535"
2009/10/01,"7,7285"
2009/11/01,"7,6042"
2009/12/01,"7,8965"
2010/01/01,"8,1135"
2010/02/01,"8,2297"
2010/03/01,"8,2875"
2010/04/01,"8,3945"
2010/05/01,"8,9485"
2010/06/01,"8,9934"
2010/07/01,"8,5216"
2010/08/01,"8,7135"
2010/09/01,"8,2181"
2010/10/01,"8,0699"
2010/11/01,"8,5630"
2010/12/01,"8,3301"
2011/01/01,"8,1844"
2011/02/01,"8,1270"
2011/03/01,"7,9628"
2011/04/01,"7,6760"
2011/05/01,"7,8585"
2011/06/01,"7,7872"
2011/07/01,"7,8369"
2011/08/01,"7,8701"
2011/09/01,"8,3209"
2011/10/01,"8,1144"
2011/11/01,"8,2994"
2011/12/01,"8,5855"
2012/01/01,"8,5094"
2012/02/01,"8,3794"
2012/03/01,"8,3433"
2012/04/01,"8,3906"
2012/05/01,"8,9116"
2012/06/01,"8,7383"
2012/07/01,"8,9094"
2012/08/01,"8,7872"
2012/09/01,"8,6120"
2012/10/01,"8,5710"
2012/11/01,"8,5500"
2012/12/01,"8,4500"
2013/01/01,"8,2350"
2013/02/01,"8,5080"
2013/03/01,"8,6215"
2013/04/01,"8,4393"
2013/05/01,"8,5497"
2013/06/01,"8,5085"
2013/07/01,"8,3926"
2013/08/01,"8,4260"
2013/09/01,"8,2830"
2013/10/01,"8,2506"
2013/11/01,"8,2534"
2013/12/01,"8,1712"
2014/01/01,"8,2936"
2014/02/01,"8,1141"
2014/03/01,"8,1189"
2014/04/01,"8,0832"
2014/05/01,"8,2190"
2014/06/01,"8,1688"
2014/07/01,"8,3203"
2014/08/01,"8,4749"
2014/09/01,"8,7706"
2014/10/01,"8,8190"
2014/11/01,"8,8520"
2014/12/01,"9,0353"
2015/01/01,"9,5700"
2015/02/01,"9,6383"
2015/03/01,"9,9574"
2015/04/01,"9,6884"
2015/05/01,"9,8080"
2015/06/01,"9,7270"
2015/07/01,"9,7870"
2015/08/01,"9,6708"
2015/09/01,"9,7296"
2015/10/01,"9,8020"
2015/11/01,"10,0541"
2015/12/01,"9,8873"
2016/01/01,"9,9167"
2016/02/01,"9,8700"
2016/03/01,"9,6292"
2016/04/01,"9,5869"
2016/05/01,"9,7607"
2016/06/01,"9,7777"
2016/07/01,"9,7591"
2016/08/01,"9,7160"
2016/09/01,"9,6700"
2016/10/01,"9,8412"
2016/11/01,"10,0395"
2016/12/01,"10,1200"
2017/01/01,"9,9774"
2017/02/01,"10,0970"
2017/03/01,"10,0530"
2017/04/01,"9,9206"
2017/05/01,"9,7338"
2017/06/01,"9,6435"
2017/07/01,"9,4254"
2017/08/01,"9,3600"
2017/09/01,"9,4105"
2017/10/01,"9,4961"
2017/11/01,"9,3910"
2017/12/01,"9,3440"
2018/01/01,"9,1543"
2018/02/01,"9,2590"
2018/03/01,"9,1982"
2018/04/01,"9,2939"
2018/05/01,"9,4855"
2018/06/01,"9,4786"
2018/07/01,"9,4435"
2018/08/01,"9,4292"
2018/09/01,"9,4260"
2018/10/01,"9,5683"
2018/11/01,"9,5185"
2018/12/01,"9,5558"
2019/01/01,"9,5284"
2019/02/01,"9,5553"
2019/03/01,"9,6635"
2019/04/01,"9,6468"
2019/05/01,"9,7043"
2019/06/01,"9,5760"
2019/07/01,"9,6466"
2019/08/01,"9,6511"
2019/09/01,"9,7443"
2019/10/01,"9,6141"
2019/11/01,"9,6538"
2019/12/01,"9,5640"
2020/01/01,"9,5911"
2020/02/01,"9,5872"
2020/03/01,"10,0912"
2020/04/01,"9,8550"
2020/05/01,"9,7852"
2020/06/01,"9,7028"
2020/07/01,"9,3350"
2020/08/01,"9,1347"
2020/09/01,"9,2397"
2020/10/01,"9,2269"
2020/11/01,"9,1002"
2020/12/01,"8,9017"
2021/01/01,"8,9364"
2021/02/01,"8,9267"
2021/03/01,"9,0616"
2021/04/01,"8,9441"
2021/05/01,"8,8251"
2021/06/01,"8,9268"
2021/07/01,"8,8890"
2021/08/01,"8,9484"
2021/09/01,"9,0720"
2021/10/01,"9,0850"
2021/11/01,"9,2407"
2021/12/01,"9,2487"
2022/01/01,"9,4101"
2022/02/01,"9,5443"
2022/03/01,"9,6947"
2022/04/01,"9,9865"
2022/05/01,"9,8552"
2022/06/01,"10,0703"
2022/07/01,"10,2903"
2022/08/01,"10,5569"
2022/09/01,"10,9514"
2022/10/01,"10,9524"
2022/11/01,"10,6693"
2022/12/01,"10,4300"
2023/01/01,"10,2054"
2023/02/01,"10,4089"
2023/03/01,"10,2379"
2023/04/01,"10,0567"
