date,point,lower,upper
2026-03-01,45929.299762933544,45929.28385069552,45929.316208522985
2026-04-01,47274.61931679775,47274.58955863279,47274.65163654181
2026-05-01,48311.95748580934,48311.912249635425,48312.0035993661
2026-06-01,49252.830721556704,49252.76945949835,49252.895703657465
2026-07-01,49988.34992888197,49988.27724345635,49988.43709415145
2026-08-01,50696.529668335534,50696.43905027478,50696.64231478619
2026-09-01,51671.76003045485,51671.64685833132,51671.89314084174
2026-10-01,52687.45911581047,52687.34214066437,52687.62961181576
2026-11-01,53192.84832113294,53192.71001531906,53195.55791343842
2026-12-01,53635.08151158333,53634.937542094085,53640.423397485254
2027-01-01,54166.290707861226,54166.127531863116,54171.90770916936
2027-02-01,54392.89096340053,54392.714364864856,54398.7800579917
2027-03-01,54479.43409099464,54479.241742686514,54485.55610401161
2027-04-01,54506.09373814686,54505.88519962207,54512.45993033955
2027-05-01,54424.70531414148,54424.48833769046,54431.30932067553
2027-06-01,54266.302819188895,54266.068649961824,54273.13984882144
2027-07-01,53998.119849314935,53997.874526060776,54005.16389705673
2027-08-01,53688.07833574013,53687.82649482927,53695.3380466435
2027-09-01,53385.66247885178,53385.397574416296,53393.099590578735
2027-10-01,53043.5442594052,53043.266212523886,53051.196855767026
2027-11-01,52630.10628749594,52629.80453395303,52637.94945865669
2027-12-01,52182.25014009166,52181.94151489495,52190.280155611945
