date,ARIMA,SARIMA,SARIMAX,Prophet,XGBoost,LSTM_univariate
2026-03-01,44316.99153294671,45059.496387094485,45144.96994085722,34839.601782504025,43948.7890625,32332.95738068613
2026-04-01,44790.64203340618,46530.163555770596,46606.335781929294,36446.52905741707,43930.8203125,33102.48339989482
2026-05-01,45134.003590283035,47694.820049197915,47797.08339686203,35861.197464535326,43914.58984375,33624.3920956662
2026-06-01,45563.17154165093,48931.35832359475,49000.51448724354,37258.21519830828,43790.20703125,33977.33071442916
2026-07-01,45945.16762325253,50132.87685831091,50063.44169567682,35871.7003187219,43777.11328125,34225.29237782458
2026-08-01,46361.895440655375,51341.05932769966,51239.38244211579,38124.66320249473,43650.43359375,34368.127052013566
2026-09-01,46762.98726630616,52964.01831170279,52937.01644507354,38756.51714239584,43647.5546875,34454.236637248636
2026-10-01,47179.49785503368,54818.60312936879,54781.29037094882,39272.662775808414,43647.50390625,34360.03014385607
2026-11-01,47592.36193100172,56027.888620393576,55937.41362674236,39717.427897291534,43626.9375,34060.03379365022
2026-12-01,48013.36682103892,57457.77500589548,57328.77502977239,40126.89058688141,43618.375,33749.61624056974
