date,ARIMA,SARIMA,SARIMAX,Prophet,XGBoost,Hybrid_ARIMA_XGBoost,LSTM_univariate,Ensemble_Weighted
2026-03-01,45204.89871037145,45977.12373503577,45929.299762933544,34839.601782504025,43979.8125,47467.15642508623,32332.95738068613,45869.96371433625
2026-04-01,45624.55421638481,47328.292603875176,47274.61931679775,36446.52905741707,43967.2109375,47626.15238453007,33102.48339989482,46401.539707606724
2026-05-01,45879.61540799472,48344.413175803915,48311.95748580934,35861.197464535326,43986.97265625,47787.580713867865,33624.3920956662,46833.56274052678
2026-06-01,46141.59781087331,49311.59262569295,49252.830721556704,37258.21519830828,43889.1171875,48139.41565742326,33977.33071442916,47260.921217409814
2026-07-01,46317.69332809508,50159.00622400327,49988.34992888197,35871.7003187219,43873.8984375,48519.69689527486,34225.29237782458,47649.41661667812
2026-08-01,46462.29962443263,50908.29386783342,50696.529668335534,38124.66320249473,43856.578125,48911.75198318552,34368.127052013566,48031.53522604484
2026-09-01,46548.475083268575,51838.57902275612,51671.76003045485,38756.51714239584,43885.48828125,49438.41436547693,34454.236637248636,48569.067093006684
2026-10-01,46595.12524996771,52850.260021481765,52687.45911581047,39272.662775808414,43590.80078125,49897.599026470074,34360.03014385607,49000.78894579596
2026-11-01,46595.916028150954,53385.5246641424,53192.84832113294,39717.427897291534,43579.515625,50268.635221578734,34060.03379365022,49305.029651273246
2026-12-01,46558.95321768753,53855.052611409476,53635.08151158333,40126.89058688141,43583.8828125,50641.150609662815,33749.61624056974,49591.89886283836
2027-01-01,46484.47091396426,54409.71206024462,54166.290707861226,41544.43289050071,43039.546875,51098.01878137392,33373.478946915675,49774.63978806705
2027-02-01,46377.27178750811,54681.78452099913,54392.89096340053,41444.947652755676,43590.42578125,51581.978924087096,32824.86176825177,50186.69073376046
2027-03-01,46239.6676840542,54806.47620232655,54479.43409099464,32705.684787961065,43586.1015625,51975.32328946954,32253.754271182,50350.91475776881
2027-04-01,46075.38158543219,54862.63961435161,54506.09373814686,37694.342693479986,43582.9453125,52419.42907411246,32265.776654861776,50511.44890861674
2027-05-01,45887.29154775361,54818.933567233864,54424.70531414148,33831.027446409964,43589.1953125,52822.59980738164,32201.47608682977,50622.17433814941
2027-06-01,45678.64707061442,54699.9099438727,54266.302819188895,38637.75922569561,43575.6171875,53182.175248320076,32085.485171945435,50684.49535379782
2027-07-01,45452.33689195643,54508.51636280559,53998.119849314935,33417.82508440484,43568.73828125,53646.88177697997,31934.418313186852,50745.55190065967
2027-08-01,45211.261985350866,54255.45958874671,53688.07833574013,39626.59578158274,43559.09765625,54151.88299606231,31759.009078962074,50804.601149655056
2027-09-01,44958.092574850474,53965.636298921265,53385.66247885178,43797.74560080517,43584.37890625,54614.02930283643,31568.109465765276,50862.202319654134
2027-10-01,44695.379533234795,53642.955273656116,53043.5442594052,40467.59430125654,43589.74609375,55074.57511881395,31366.820624118518,50899.08098729907
2027-11-01,44425.47242053009,53256.461810961635,52630.10628749594,44946.67462949085,43584.78515625,55532.27757930435,31165.45307619563,50906.3875588811
2027-12-01,44150.55284049988,52834.15903765187,52182.25014009166,41827.54656917724,43588.21875,55996.6203368009,30974.39359087543,50906.18263728479
