model,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,bias_mean,bias_std,directional_accuracy_mean,directional_accuracy_std
SARIMAX,1477.6312231093277,1164.5648338001374,1230.0683049905701,995.4346844842881,6.485904800397561,3.165638491616813,-1.459666510836416,1.5734738602704315,-797.4409514086623,1343.265344679146,60.9090909090909,7.10022697809696
Baseline_Drift,1487.1608166614976,1023.6092348983875,1259.7496453946362,903.6711147008052,6.826476915920783,2.8898491474813555,-1.9529711483315537,2.2634264273751454,-756.1547759289239,1316.9474067758056,60.90909090909092,17.744746632675582
ARIMA,1536.2231946326033,1127.036543242696,1295.8584194695184,981.0271960303502,6.920822305990984,3.052588221377147,-1.8657297272937197,1.683459313563087,-865.2496395353446,1344.8048832888755,55.45454545454546,18.82937743382544
Hybrid_ARIMA_XGBoost,1543.9466118320945,965.1886917808307,1318.9002875926594,842.8085641176141,7.262213302085395,2.657092456888359,-2.407718745178687,2.7166114942191792,-772.3580073738952,1327.3768148241154,58.18181818181817,13.606026860996154
SARIMA,1615.7056200022116,1071.035257069641,1363.4867498252186,934.74547267333,7.42071523976553,2.602053697037936,-2.6321919866400174,2.255948585161861,-927.0460197510695,1339.6699906937304,54.54545454545455,15.212000482437738
Baseline_LastValue,1683.2972968611434,1167.6232463259348,1430.4044158090946,1029.7001666663268,7.655631868949295,3.0150023645749817,-2.4645699161813406,1.6035497147802407,-1098.4279170494488,1348.3987216083303,0.0,0.0
XGBoost,1758.8639727696486,1435.1665423443462,1525.4345923580686,1294.236966861019,7.919275007889057,4.396860913427968,-2.3577469474324944,1.972063891698285,-1438.2953428025287,1366.3369989824162,60.909090909090914,10.794856442761745
LSTM_univariate,1979.2052139475104,1540.4102463516404,1740.9974613944746,1498.0460662344167,9.098152135154537,5.892195838623067,-3.8758507224212257,4.814198364822226,-1573.2110303914476,1647.5215049207786,47.27272727272727,21.04697618689132
Prophet,2405.799538740337,1210.0153895197907,2026.1913808411234,1201.3749032173812,12.3042265830937,6.315119984557626,-16.868071143876033,21.18289862475091,-1100.152702915945,1624.1150615084928,46.36363636363636,12.497933713515927
Baseline_TrainMean,7954.220349739701,4036.297120973097,7893.680573209698,4009.864336299736,44.78262305751694,8.958419000452336,-114.12823516898129,107.26771279328925,-7893.680573209698,4009.864336299736,0.0,0.0
