,rmse,rmse,rmse,rmse,mae,mae,mae,mae,r2,r2,r2,r2,bias,bias,bias,bias
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
model,,,,,,,,,,,,,,,,
ARIMA,1536.2232,1188.0008,340.0135,4438.5653,1295.8584,1034.0935,298.4017,3924.2111,-1.8657,1.7745,-5.602,0.1118,-865.2496,1417.5488,-3924.2111,947.8889
Baseline_Drift,1487.1608,1078.9789,340.4826,4096.4176,1259.7496,952.553,296.9751,3663.2905,-1.953,2.3859,-8.104,0.2057,-756.1548,1388.1845,-3663.2905,1096.6512
Baseline_LastValue,1683.2973,1230.783,531.46,4625.8811,1430.4044,1085.3993,486.4376,4133.2919,-2.4646,1.6903,-5.1632,-0.5283,-1098.4279,1421.3371,-4133.2919,754.5246
Baseline_TrainMean,7954.2203,4254.6307,4119.8099,17624.5661,7893.6806,4226.7681,4063.9409,17501.733,-114.1282,113.0701,-385.881,-30.8962,-7893.6806,4226.7681,-17501.733,-4063.9409
Hybrid_ARIMA_XGBoost,1543.9466,1017.3982,397.418,3979.6959,1318.9003,888.3982,350.3486,3519.0048,-2.4077,2.8636,-9.9581,0.0723,-772.358,1399.178,-3515.822,1240.7045
LSTM_univariate,1979.2052,1623.735,244.5045,5642.4282,1740.9975,1579.0792,188.6708,5357.2032,-3.8759,5.0746,-16.2957,0.0329,-1573.211,1736.6401,-5357.2032,221.9726
Prophet,2405.7995,1275.4682,1026.8068,5045.9516,2026.1914,1266.3603,750.7183,4884.0256,-16.8681,22.3287,-62.0596,0.39,-1100.1527,1711.9676,-4884.0256,1308.5515
SARIMA,1615.7056,1128.9703,621.8346,4438.5653,1363.4867,985.3082,588.3772,3924.2111,-2.6322,2.378,-7.4376,-0.2704,-927.046,1412.1362,-3924.2111,957.7405
SARIMAX,1477.6312,1227.5591,239.2829,4437.879,1230.0683,1049.2803,199.5676,3866.3487,-1.4597,1.6586,-4.9465,0.3339,-797.441,1415.926,-3866.3487,901.3821
XGBoost,1758.864,1512.7984,405.5397,5491.1293,1525.4346,1364.2455,325.0828,4939.8161,-2.3577,2.0787,-5.9884,-0.0326,-1438.2953,1440.2457,-4939.8161,-27.0618
